name,country,company,percent_shares
[Rio Tinto PLC - UK] Consultinvest Asset Management SGR S.p.A.,Italy,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] ReAssure Limited,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] La Banque Postale Structured Asset Management,France,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Barrios Prieto (Alfredo Antonio),UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] La Française Asset Management GmbH,Germany,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Tellier (Paul Mathias),Canada,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Nykredit Bank AS,Denmark,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] BG Fund Management Luxembourg S.A.,Luxembourg,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Investitori SGR S.p.A.,Italy,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Generali Insurance Asset Management S.p.A. SGR,Italy,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Stadtsparkasse Düsseldorf,Germany,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Imantia Capital,Spain,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Swisscanto Fondsleitung AG,Switzerland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Sella SGR S.p.A.,Italy,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Baatar (Bold),UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Valu-Trac Investment Management Ltd.,UK,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Bailard, Inc.",USA,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Sterling Capital Management, LLC",USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Edmond de Rothschild Asset Management (France) S.A.,France,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Monyx Asset Management,Sweden,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Sanford DeLand Asset Management Limited,UK,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] WisdomTree Asset Management, Inc.",USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] CA Indosuez Wealth (Europe) S.A.,Luxembourg,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Privatbank Von Graffenried AG,Switzerland,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] China International Fund Management Co., Ltd.",China,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] National-Bank AG,Germany,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Davy Asset Management,Ireland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Macquarie Investment Management Europe SA.,Luxembourg,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Charteris Treasury Portfolio Managers Limited,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Veritas Institutional GmbH,Germany,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Ålandsbanken Asset Management Ab,Finland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Sydinvest,Denmark,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Evli Fund Management Company Ltd.,Finland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Solidar Fonder AB,Sweden,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Adepa Asset Management S.A.,Luxembourg,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] PFA Asset Management,Denmark,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] BNY Mellon Asset Management,USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Valiant Bank AG,Switzerland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Bâloise Asset Management,Switzerland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Acadian Asset Management LLC,USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Legg Mason Investments (Europe) Limited,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Sal. Oppenheim jr. & Cie. AG & Co. KGaA (Asset Management),Germany,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Thesis Asset Management Limited,UK,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Milliman Financial Risk Management, LLC",USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Parametric Portfolio Associates LLC,USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] UBS Wealth Management AG (US),USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Jyske Invest Fund Management A/S,Denmark,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Jackson Square Partners, LLC",USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Kathrein Privatbank Aktiengesellschaft,Austria,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Guggenheim Investments,USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Highstreet Asset Management Inc.,Canada,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] AMUNDI IBERIA SGIIC SA,Spain,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Candriam Luxembourg S.A.,Luxembourg,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] IPConcept (Luxemburg) S.A.,Luxembourg,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Gonet & Cie SA,Switzerland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] KIRIX Vermögensverwaltung AG,Germany,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Stausholm (Jakob),Norway,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Keppler Asset Management, Inc.",USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] BNP Paribas Asset Management Nederland N.V.,Netherlands,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Landolt & Cie,Switzerland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] W & W Asset Management GmbH,Germany,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Plato Investment Management Limited,Australia,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] EFG Asset Management (UK) Limited,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] USAA Asset Management Company,USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Raiffeisen Vermögensverwaltungsbank AG,Austria,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Swiss Rock Asset Management AG,Switzerland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Banque SYZ S.A.,Switzerland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] ERSEL Gestion Internationale S.A.,Luxembourg,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] IM Gestão de Ativos, Sociedade Gestora de Fundos de Investimento, S.A.",Portugal,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Adam & Company Investment Management Ltd.,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Optimix Vermogensbeheer N.V.,Netherlands,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Mediolanum Gestione Fondi SGR p.A.,Italy,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] KREMSER BANK und Sparkassen AG,Austria,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Deutsche Bank AG (Germany),Germany,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Allianz Global Investors Taiwan Ltd.,Taiwan,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] World Asset Management, Inc.",USA,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Templeton Investment Counsel, L.L.C.",USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Candriam S.A. (France),France,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Grossbötzl, Schmitz, Lomparski & Partner International S.à.r.l.",Luxembourg,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Wiesbadener Volksbank eG,Germany,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] INVESCO Asset Management (Japan) Ltd.,Japan,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Alceda Fund Management S.A.,Luxembourg,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] GS&P Kapitalanlagegesellschaft S.A.,Luxembourg,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Rometsch & Moor Limited,UK,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Mirae Asset Global Investments Co., Ltd.",South Korea,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Schweizerische Nationalbank,Switzerland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Wealtheon NV,Belgium,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Mediobanca SGR S.p.A.,Italy,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Crux Asset Management Limited,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Winton Capital Management Ltd.,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Sand Aire Limited,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] OLIM Ltd.,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Radin Capital Partners Inc.,Canada,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Bankinter Gestión de Activos, SGIIC S.A.",Spain,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Calvert Research and Management,USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Organic Investment Management Limited,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Security Kapitalanlage AG,Austria,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Aramea Asset Management AG,Germany,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] BayernInvest Kapitalanlagegesellschaft mbH,Germany,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Freiburger Vermögensmanagement GmbH,Germany,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Michael Pintarelli Finanzdienstleistungen AG,Germany,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Caja España Fondos, S.A., S.G.I.I.C.",Spain,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Alpha Portfolio Management,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Purpose Investments Inc.,Canada,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Bank Dierickx Leys N.V.,Belgium,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Gabelli Funds, LLC",USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Apo Asset Management GmbH,Germany,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Amundi SGR SpA,Italy,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Acacia Inversion S.G.I.I.C., S.A.U.",Spain,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] RBV GmbH,Germany,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Vunani Fund Managers (Pty) Ltd.,South Africa,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] MD Financial Management Inc.,Canada,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] ActivGest S.A.,Switzerland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Rothschild & Co. Bank AG,Switzerland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Degussa Bank AG,Germany,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Macquarie Investment Management Austria Kapitalanlage AG,Austria,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Eastspring Investments (Singapore) Limited,Singapore,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Swiss Mobiliar Asset Management Ltd.,Switzerland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Mcintosh (Stephen),UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Merit Capital NV,Belgium,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Samsung Asset Management Co., Ltd.",South Korea,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Oldenburgische Landesbank AG,Germany,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Standard & Poor's Investment Advisory Services, L.L.C.",USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] AGF Investments LLC,USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Ceresio Investors,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Laidlaw (William Samuel Hugh),UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Oberbanscheidt & Cie Vermögensverwaltungsgesellschaft mbH,Germany,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Symphonia SGR Spa,Italy,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Mondrian Investment Partners Ltd.,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Thompson (Simon),UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Julius Baer International Ltd.,UK,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Montepio Gestão de Activos - SGFI, S.A.",Portugal,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Safdicorp S.A.,Switzerland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Inspire Investing,USA,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Tressis Gestion, S.G.I.I.C., S.A.",Spain,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Allianz Invest Kapitalanlagegesellschaft mbH,Austria,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] PARTNERS VermögensManagement AG,Germany,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Thistledown Investment Management Ltd.,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] La Française AM,France,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Wilmington Trust Investment Advisors, Inc.",USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Warburg Invest AG,Germany,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Nextam Partners SGR S.p.A.,Italy,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Russell Investments Canada Limited,Canada,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Tangerine Investment Management Inc.,Canada,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Zurich Insurance Group,Switzerland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Amundi Hong Kong Limited,Hong Kong,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Martin Currie Investment Management Ltd.,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Consulting Team Vermögensverwaltung AG,Germany,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Cambria Investment Management, L.P.",USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] TCW Asset Management Company LLC,USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Dr. Blumer & Partner Asset Management AG,Liechtenstein,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] BPI Gestão de Activos - S.G.F.I.M., S.A.",Portugal,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Niven (Simone),UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] BEA Union Investment Management Limited,Hong Kong,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Franklin Equity Group,USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] H. Hentsch Asset Management SA,Switzerland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Matrix Capital Management Trust reg.,Liechtenstein,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] FIL Investment Management (Australia) Limited,Australia,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Yuanta Securities Investment Trust Co., Ltd.",Taiwan,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] SYZ Asset Management Suisse SA,Switzerland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] AXA Rosenberg Investment Management Ltd.,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Lingohr & Partner Asset Management GmbH,Germany,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Credit Suisse Asset Management Limited,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] ALTKÖNIG Asset Management GmbH,Germany,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Luxgest Asset Management,Luxembourg,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] W&P Financial Services GmbH,Austria,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Sun Life Global Investments (Canada) Inc.,Canada,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Brompton Asset Management LLP,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Harvest Portfolios Group Inc,Canada,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] NBG Asset Management Mutual Funds Management Company S.A.,Greece,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Whitefoord LLP,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Capital International Inc. (Singapore),Singapore,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Capital International, Inc.",USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Baring Asset Management (Asia) Limited,Hong Kong,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] MK LUXINVEST S.A.,Luxembourg,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Plutos Vermögensverwaltung AG,Germany,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Barrow, Hanley, Mewhinney & Strauss, LLC",USA,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Credit Suisse Asset Management, LLC (US)",USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Craton Capital (Pty) Ltd,South Africa,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Momentum Asset Management (Pty) Ltd.,South Africa,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Zuger Kantonalbank,Switzerland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Merrion Investment Managers,Ireland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Luxcellence Management Company S.A,Luxembourg,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Cadelux S.A.,Luxembourg,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Credit Suisse Asset Management KAG mbH,Germany,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Tiberius Asset Management AG,Switzerland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] LLB Swiss Investment AG,Switzerland,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Gesalcalá S.G.I.I.C., S.A.",Spain,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Controlfida (Suisse) SA,Switzerland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Harris Associates L.P.,USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] FinEx Capital Management LLP,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Kirikova (Vera),UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Tellsons Investors LLP,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Bantleon Bank AG,Switzerland,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Nikko Asset Management Co., Ltd.",Japan,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Counsel Portfolio Services, Inc.",Canada,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Aviva Investors France S.A.,France,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] FTC Capital GmbH,Austria,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Principal Global Investors (Fixed Income),USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Citigroup Alternative Investments LLC,USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Degroof Petercam Asset Services SA,Luxembourg,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Prodigy Capital Partners LLP,UK,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Kiwoom Asset Management Co., Ltd.",South Korea,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Farrell (Joanne Margaret),Australia,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Messieurs Hottinguer & Cie Gestion Privée S.A.,France,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Ampega Investment GmbH,Germany,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] 1875 Finance SA,Switzerland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Capital Investment Trust Corporation,Taiwan,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Berenberg Bank (Asset Management),Germany,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Godbehere (Ann Frances),UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] BFT Investment Managers,France,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] YCAP Asset Management,France,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Schroder Investment Management (Switzerland) AG,Switzerland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] BlackRock Investment Management (Australia) Ltd.,Australia,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] ProFund Advisors LLC,USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] First State Investments (U.K.) Ltd,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Hoerner Bank Aktiengesellschaft,Germany,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Arquigest Sgiic SA,Spain,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Unigest, S.G.I.I.C., S.A.",Spain,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Greene (Moya),UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Constable (David E),USA,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Schneider, Walter & Kollegen Vermögensverwaltung AG",Germany,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] MYRA Capital GmbH,Austria,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] UBS Asset Management (Australia) Ltd.,Australia,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] TrimTabs Asset Management, LLC",USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Berner Kantonalbank AG,Switzerland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] MEAG MUNICH ERGO AssetManagement GmbH,Germany,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Franklin Advisers, Inc.",USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Casa4Funds Luxembourg European Asset Management S.A.,Luxembourg,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Banchile Administradora General de Fondos S.A.,Chile,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Piraeus Asset Management Mutual Funds S.A.,Greece,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Wright Investors' Service Inc.,USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] AZ FUND Management SA,Luxembourg,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] I.C.M. Investment Bank AG,Germany,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] M.M.Warburg & CO Luxembourg S.A.,Luxembourg,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Montaigne Capital SAS,France,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] MRB Vermögensverwaltungs AG,Switzerland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Prescient Investment Management (Pty) Ltd.,South Africa,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] MFS Investment Management Canada Limited,Canada,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Urquijo Gestión, S.A., S.G.I.I.C., Sociedad Unipersonal",Spain,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Landry Investment Management Inc.,Canada,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] GVC Gaesco Gestión SGIIC S.A.,Spain,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] von der Heydt & Co. AG,Germany,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] antea Vermögensverwaltung GmbH,Germany,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Rasmala Investments,UAE,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Desjardins Global Asset Management,Canada,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Yorkville Asset Management, Inc.",Canada,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Vontobel Asset Management S.A.,Luxembourg,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Erste Asset Management GmbH,Austria,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] IST Investmentstiftung,Switzerland,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Resona Asset Management Co., Ltd.",Japan,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Mega International Investment Trust Co., Ltd.",Taiwan,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] EB Portfoliomanagement GmbH,Austria,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] BlackRock Asset Management North Asia Limited,Hong Kong,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Crédito Agrícola Gest-Sociedade Gest de Fundos de Invest. Mobilliário,Portugal,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Research Affiliates, LLC",USA,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] PGIM Japan Co., Ltd.",Japan,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] DUX Inversores, SGIIC, S.A.",Spain,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] JPMorgan Private Bank (United States),USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Pure Capital S.A.,Luxembourg,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Grüner Fisher Investments GmbH,Germany,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] StarCapital AG,Germany,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Tyndall Investment Management Ltd.,UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Christopher (Salisbury),UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] R.I.Vermögensbetreuung AG,Germany,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Vident Investment Advisory, LLC",USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Taishin Securities Investment Trust Co. Ltd.,Taiwan,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] SEI Investments Canada,Canada,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] AllianceBernstein Ltd. (Value),UK,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Ashburton Fund Managers (Proprietary) Limited,South Africa,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Capital Advisors, LLC",USA,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] EdgeHill Partners,Canada,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Carthesio S.A.,Switzerland,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Gerstein, Fisher & Associates, Inc.",USA,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Meeschaert Asset Management, S.A.S.",France,Rio Tinto,<0.01%
"[Rio Tinto PLC - UK] Gesiuris Asset Management S.G.I.I.C., S.A.",Spain,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Macquarie Funds Management Hong Kong Ltd.,Hong Kong,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Pharus Management S.A.,Switzerland,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Investec Asset Management (Pty) Ltd.,South Africa,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Evolve Funds Group Inc,Canada,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Above The Index Asset Management Pty Ltd,Australia,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Ossiam,France,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Wellington International Management Company Pte. Ltd.,Singapore,Rio Tinto,<0.01%
[Rio Tinto PLC - UK] Dr. Kohlhase Vermögensverwaltungsgesellschaft mbH,Germany,Rio Tinto,<0.01%
